Band gap,j_twist_angle,j_num_atoms,j_max_strain,j_interlayer_distance,mono_name1,mono_name2,mat_name,l_a,l_b,l_c,l_alpha,l_beta,l_gamma
1.668,7.308,174,0.993,6.925,1MoS2-1,1CaI2-1,1Ca19I38Mo39S78-1,19.733793663946607,19.734135633202612,24.708402245027074,90.0,90.0,119.99917117787233
1.552,7.31,174,0.574,6.968,1MoS2-1,1SnI2-1,1Sn19I38Mo39S78-1,19.749631287972537,19.749862056822092,24.88521550253921,90.0,90.0,119.99917967944907
1.437,7.307,174,0.806,6.993,1WS2-1,1SnI2-1,1Sn19I38W39S78-1,19.795415595333814,19.795415474285146,24.901810674110052,90.0,90.0,119.99996538326249
0.424,12.519,141,0.335,8.411,2InTe-1,1PbI2-1,1Pb19I38In42Te42-1,19.92721071293403,19.927915100247006,27.34811354603297,90.0,90.0,119.99871796477687
1.478,0.117,177,0.939,6.742,1MoS2-1,1ZnI2-1,1Zn20Mo39I40S78-1,16.4823591540294,22.20052139536552,24.402560556458205,90.0,90.0,111.78861839362084
1.601,0.062,177,0.728,6.763,1WS2-1,1ZnI2-1,1Zn20W39I40S78-1,16.517674129121104,22.248379715067024,24.419155728029047,90.0,90.0,111.79006723205468
0.0,15.436,185,0.129,5.275,2C-1,1BrSbTe-1,1Br21Sb21Te21C122-1,19.264359607658257,19.264364030160024,21.522194591389713,90.0,90.0,119.99990302850938
1.351,3.005,115,0.33,7.587,1MoS2-1,2InSe-1,1Mo21In26Se26S42-1,14.529048184535267,14.529245685750277,26.490349752298002,90.0,90.0,119.9989697343627
0.917,3.003,271,0.263,5.71,2CH-1,1CdBr2-1,1Cd21Br42C104H104-1,18.29248020612511,18.292504356555952,23.86384857754387,90.0,90.0,119.9991203351179
2.657,7.753,217,0.922,5.325,1BN-1,1ZnI2-1,1Zn23I46B74N74-1,13.268609993623937,30.409974597897623,21.26804346305871,90.0,90.0,92.68522138026938
1.519,21.051,110,0.196,6.164,1BN-1,2InSe-1,1In24Se24B31N31-1,13.977904498055542,13.97790559725617,23.355832658898507,90.0,90.0,119.99998766986613
1.028,16.102,75,0.0,6.607,1MoS2-1,1MoSe2-1,1Se24Mo25S26-1,11.414961192833545,11.41496119284821,24.482489089262174,90.0,90.0,120.00000000043696
0.981,16.102,75,0.187,6.63,1WS2-1,1WSe2-1,1Se24W25S26-1,11.42706517454704,11.427266732033985,24.522953245054218,90.0,90.0,119.9979042664671
0.0,6.589,93,0.885,6.258,1WTe2-1,1WO2-1,1Te24W31O38-1,12.279723269969367,12.279740907064268,24.120785718896844,90.0,90.0,119.99985121845596
0.883,19.105,159,0.36,6.382,1PtSe2-1,1AsBrTe-1,1As25Br25Te25Pt28Se56-1,19.717307959690988,19.718146029261266,23.978870012830384,90.0,90.0,119.99745520449493
1.423,25.297,186,0.912,6.684,1WS2-1,1AsClTe-1,1As25Cl25Te25W37S74-1,19.362043203954016,19.362258413017223,24.31939801438852,90.0,90.0,119.99922513789792
0.015,19.107,159,0.069,6.556,1ZrSe2-1,1ClSbSe-1,1Cl25Sb25Zr28Se81-1,20.023378508456815,20.023390116336536,24.435290992838077,90.0,90.0,119.99998082839628
1.383,19.107,159,0.28,7.078,1MgI2-1,1PbBr2-1,1Pb25Mg28Br50I56-1,22.105451875942467,22.105461764701108,24.763469460483304,90.0,90.0,119.99998702146456
0.837,0.003,139,0.758,8.309,1MoTe2-1,2InTe-1,1Mo25In32Te82-1,17.491247169138965,17.492574470287945,27.173839414891003,90.0,90.0,119.99532092730189
